Country Name,Year,PM25,PrimarySchoolGross,LifeExpectancy,GDPperCap,ForestArea,EnergyUse,ExportofGnS,RenewableElectricty,WomenParliament,PopulationDensity,LivestockProduction
Lebanon,2000,17.9829558305759,85.1220779418945,72.055,3986.83513941026,13.5073313782991,1136.87014459546,14.1775557263643,4.45873957181626,2.34375,423.200391006843,91.01
Liberia,2000,40.1117652111733,108.483879089355,50.288,298.485340578945,85.3679401993355,,,26.2692226669475,7.8125,30.3998857973422,62.82
Libya,2000,35.9654901658373,,68.91,7214.10040377084,0.123327687918433,2976.83650740397,31.558004285277,0.0,,3.01500448980984,94.48
St. Lucia,2000,22.9678841195504,103.179191589355,68.496,5879.56191426207,34.4426229508197,,,0.0,11.1111111111111,260.026229508197,81.69
Latin America & Caribbean,2000,25.6013509494242,115.673156738281,67.8602509004705,4472.58404552831,50.6537218934046,1175.0909355958,20.3645338786965,60.2177000858142,15.1574254667038,25.9529802442326,97.5542938192261
Least developed countries: UN classification,2000,41.081173310253,76.7792434692383,54.0874213792168,333.363886094901,32.3699291619253,287.375812574666,20.2560634580396,59.029017068937,10.0499375780275,38.0358684345252,82.7701658127213
Low income,2000,40.0890596803136,69.0617523193359,52.4933311736012,361.877753824032,25.9684419706667,405.781138419465,23.2102918942683,46.5340814661902,,29.0798469530297,82.7291465696327
Liechtenstein,2000,,,73.9,76087.911114202,41.875,,,,4.0,204.03125,
Sri Lanka,2000,26.659822449137,,66.774,860.199884304769,34.546643278584,431.62116957475,39.015700886425,45.8128212450029,,307.655142720459,58.07
Lower middle income,2000,53.5276716094549,93.8187637329102,60.382502083752,559.072816607957,31.9962497912319,400.992359467152,21.0291898196488,23.7000595289647,8.58712715855573,113.762443250105,100.0
Low & middle income,2000,45.7713898286566,98.6475677490234,63.6781939961602,1178.01096453065,30.0021616878273,731.860966216045,24.2033576723225,25.5372951198297,12.2416924360673,65.6468523642262,84.3024959362257
Lesotho,2000,24.5043099431081,108.976371765137,46.461,442.779545779081,1.13702239789196,,,99.896848448655,3.79746835443038,66.0050395256917,95.22
Late-demographic dividend,2000,40.1754165429326,112.980796813965,68.3039847484749,1677.20655312269,39.5593547515833,1243.97244037144,31.4636137112737,25.6620020726384,14.7582141687589,46.0098979791788,98.9769960408659
Lithuania,2000,18.083013444041,103.144233703613,66.8,3300.63634928559,32.2271857051691,2040.58088590544,38.5073296446036,5.63676148796499,10.6382978723404,55.8317804722399,100.06
Luxembourg,2000,14.2553412411783,98.2414703369141,74.8,48659.5988753233,33.6769652665025,7682.15555208276,147.644884433486,78.7066895368782,16.6666666666667,169.472433053922,80.49
Latvia,2000,22.4970757971078,101.699783325195,64.9,3278.17896440803,52.0835007311939,1618.63984186997,37.7213901364908,68.2683752417795,17.0,38.0469892490398,79.36
"Macao SAR, China",2000,,,77.5,15731.4081633771,,,89.2655471149778,,,21530.0,105.71
St. Martin (French part),2000,,,73.35,,,,,0.0,,,
Morocco,2000,26.2794045322845,93.7790679931641,65.13,1499.107421875,12.3382030024647,387.674326412744,24.1968278897887,6.08442820492887,0.615384615384615,63.6868362088281,57.15
Monaco,2000,16.052472566324,132.716461181641,78.468,81789.0206522549,0.0,,,,22.2222222222222,16011.3468179576,
Moldova,2000,28.7598551759854,,63.481,440.538683980372,10.4744525547445,985.928952009192,49.6001138108804,6.72493756689262,7.92079207920792,101.844482362364,97.35
Madagascar,2000,11.9155371328738,95.8474273681641,56.819,280.282905559649,22.4071774942394,255.709986506438,19.1196684495627,68.5044247787611,8.0,28.4010351824466,89.21
Maldives,2000,16.8060479800766,126.989768981934,69.944,2213.81235053178,2.73333333333333,,,0.0,6.0,940.063333333333,104.76
